,date,division,inflation_yoy,inflation_mom
648,2021-02-01,06,0.7,0.1
649,2021-03-01,06,0.5,0.1
650,2021-04-01,06,0.5,0.0
651,2021-05-01,06,0.6,0.1
652,2021-06-01,06,0.5,0.0
653,2021-07-01,06,0.4,0.0
654,2021-08-01,06,0.3,0.0
655,2021-09-01,06,0.3,0.0
656,2021-10-01,06,0.2,0.0
657,2021-11-01,06,0.2,0.0
658,2021-12-01,06,0.2,0.0
659,2022-01-01,06,0.3,0.1
660,2022-02-01,06,0.5,0.2
661,2022-03-01,06,0.2,-0.2
662,2022-04-01,06,0.2,0.1
663,2022-05-01,06,0.4,0.2
664,2022-06-01,06,0.6,0.2
665,2022-07-01,06,0.8,0.2
666,2022-08-01,06,0.9,0.1
667,2022-09-01,06,1.0,0.1
668,2022-10-01,06,1.0,0.1
669,2022-11-01,06,1.4,0.3
670,2022-12-01,06,1.3,-0.1
671,2023-01-01,06,1.6,0.4
672,2023-02-01,06,1.8,0.5
673,2023-03-01,06,2.2,0.1
674,2023-04-01,06,2.1,0.0
675,2023-05-01,06,1.9,0.1
676,2023-06-01,06,2.0,0.2
677,2023-07-01,06,2.0,0.2
678,2023-08-01,06,2.4,0.5
679,2023-09-01,06,2.2,-0.1
680,2023-10-01,06,2.4,0.2
681,2023-11-01,06,2.3,0.2
682,2023-12-01,06,2.5,0.2
683,2024-01-01,06,2.4,0.2
684,2024-02-01,06,2.3,0.4
685,2024-03-01,06,2.1,-0.1
686,2024-04-01,06,2.4,0.2
687,2024-05-01,06,2.4,0.1
688,2024-06-01,06,2.0,-0.2
689,2024-07-01,06,2.1,0.4
690,2024-08-01,06,1.7,0.1
691,2024-09-01,06,1.7,-0.1
692,2024-10-01,06,1.6,0.1
693,2024-11-01,06,1.5,0.2
694,2024-12-01,06,1.3,0.0
695,2025-01-01,06,1.5,0.4
696,2025-02-01,06,1.2,0.2
697,2025-03-01,06,1.3,0.0
698,2025-04-01,06,1.1,0.1
699,2025-05-01,06,1.2,0.2
700,2025-06-01,06,1.4,0.0
701,2025-07-01,06,1.1,0.2
702,2025-08-01,06,1.1,0.1
703,2025-09-01,06,1.3,0.1
704,2025-10-01,06,1.5,0.2
705,2025-11-01,06,1.4,0.1
706,2025-12-01,06,1.4,0.1
707,2026-01-01,06,1.2,0.2
708,2026-02-01,06,1.1,0.1
709,2026-03-01,06,1.4,0.2
710,2026-04-01,06,1.4,0.1
711,2026-05-01,06,1.2,-0.1
712,2026-06-01,06,1.2,0.0
713,2026-07-01,06,1.4,0.3
714,2018-02-01,07,,-0.3
715,2018-03-01,07,,-1.2
716,2018-04-01,07,,0.0
717,2018-05-01,07,,-0.2
718,2018-06-01,07,,-0.8
719,2018-07-01,07,,0.0
720,2018-08-01,07,,0.1
721,2018-09-01,07,,0.3
722,2018-10-01,07,,0.3
723,2018-11-01,07,,0.1
724,2018-12-01,07,,-0.4
725,2019-01-01,07,-7.6,-5.4
726,2019-02-01,07,-6.8,0.5
727,2019-03-01,07,-3.2,2.6
728,2019-04-01,07,-2.7,0.5
729,2019-05-01,07,-2.5,0.1
730,2019-06-01,07,-2.0,-0.3
731,2019-07-01,07,-1.9,0.1
732,2019-08-01,07,-2.1,-0.1
733,2019-09-01,07,-2.2,0.1
734,2019-10-01,07,-2.3,0.2
735,2019-11-01,07,-2.4,0.0
736,2019-12-01,07,-1.9,0.1
737,2020-01-01,07,1.4,-2.3
738,2020-02-01,07,0.2,-0.7
739,2020-03-01,07,0.3,2.7
740,2020-04-01,07,0.2,0.4
741,2020-05-01,07,0.2,0.1
742,2020-06-01,07,-0.2,-0.6
743,2020-07-01,07,-0.2,0.1
744,2020-08-01,07,0.1,0.2
745,2020-09-01,07,-0.1,-0.1
746,2020-10-01,07,-0.2,0.1
747,2020-11-01,07,-0.2,0.0
748,2020-12-01,07,-0.3,0.0
749,2021-01-01,07,-0.6,-2.6
750,2021-02-01,07,0.5,0.3
751,2021-03-01,07,0.6,2.9
752,2021-04-01,07,0.6,0.4
753,2021-05-01,07,0.8,0.3
754,2021-06-01,07,1.0,-0.5
755,2021-07-01,07,1.0,0.1
756,2021-08-01,07,0.7,-0.1
757,2021-09-01,07,0.9,0.1
758,2021-10-01,07,1.1,0.3
759,2021-11-01,07,0.7,-0.4
