date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2022-01-20,3.68,-0.03,430.0,7,2032
2022-01-21,3.67,-0.01,161.16,7,2032
2022-01-24,3.69,0.02,60.0,7,2032
2022-01-25,3.69,0.0,120.0,7,2032
2022-01-26,3.67,-0.02,140.0,7,2032
2022-01-27,3.7,0.03,142.5,7,2032
2022-01-28,3.68,-0.02,220.0,7,2032
2022-01-31,3.68,0.0,10.15,7,2032
2022-02-03,3.66,-0.02,314.35,7,2032
2022-02-04,3.66,0.0,42.15,7,2032
2022-02-07,3.72,0.06,22.0,7,2032
2022-02-08,3.71,-0.01,199.81,7,2032
2022-02-09,3.7,-0.01,50.0,7,2032
2022-02-10,3.68,-0.02,110.5,7,2032
2022-02-11,3.7,0.02,82.3,7,2032
2022-02-14,3.7,0.0,50.0,7,2032
2022-02-15,3.7,0.0,50.0,7,2032
2022-02-16,3.67,-0.03,190.0,7,2032
2022-02-17,3.65,-0.02,254.22,7,2032
2022-02-18,3.65,0.0,323.0,7,2032
2022-02-21,3.66,0.01,77.0,7,2032
2022-02-22,3.66,0.0,170.0,7,2032
2022-02-23,3.66,0.0,67.0,7,2032
2022-02-24,3.66,0.0,100.0,7,2032
2022-02-25,3.67,0.01,60.0,7,2032
2022-02-28,3.67,0.0,559.44,7,2032
2022-03-01,3.67,0.0,316.15,7,2032
2022-03-02,3.66,-0.01,466.22,7,2032
2022-03-03,3.67,0.01,325.5,7,2032
2022-03-04,3.65,-0.02,770.39,7,2032
2022-03-07,3.64,-0.01,30.0,7,2032
2022-03-08,3.67,0.03,171.0,7,2032
2022-03-09,3.67,0.0,90.5,7,2032
2022-03-10,3.67,0.0,178.09,7,2032
2022-03-11,3.67,0.0,36.85,7,2032
2022-03-14,3.68,0.01,45.0,7,2032
2022-03-15,3.69,0.01,240.39,7,2032
2022-03-16,3.68,-0.01,30.0,7,2032
2022-03-17,3.7,0.02,274.37,7,2032
2022-03-18,3.69,-0.01,98.32,7,2032
2022-03-21,3.7,0.01,148.75,7,2032
2022-03-22,3.74,0.04,158.0,7,2032
2022-03-23,3.76,0.02,184.0,7,2032
2022-03-24,3.82,0.06,170.7,7,2032
2022-03-25,3.87,0.05,190.0,7,2032
2022-03-28,3.96,0.09,471.23,7,2032
2022-03-29,3.94,-0.02,50.0,7,2032
2022-03-30,3.9,-0.04,153.81,7,2032
2022-03-31,3.85,-0.05,46.17,7,2032
2022-04-01,3.9,0.05,177.38,7,2032
2022-04-04,3.93,0.03,75.26,7,2032
2022-04-05,3.94,0.01,100.0,7,2032
2022-04-06,4.03,0.09,130.0,7,2032
2022-04-08,4.0,-0.03,110.0,7,2032
2022-04-11,3.99,-0.01,26.45,7,2032
2022-04-12,4.09,0.1,52.4,7,2032
2022-04-13,4.06,-0.03,27.6,7,2032
2022-04-14,4.05,-0.01,17.0,7,2032
2022-04-15,4.09,0.04,11.16,7,2032
2022-04-18,4.13,0.04,69.31,7,2032
2022-04-20,4.2,0.07,17.86,7,2032
2022-04-21,4.13,-0.07,30.0,7,2032
2022-04-22,4.18,0.05,73.33,7,2032
2022-04-25,4.25,0.07,80.68,7,2032
2022-04-26,4.25,0.0,8.0,7,2032
2022-04-27,4.29,0.04,54.5,7,2032
2022-04-28,4.44,0.15,96.22,7,2032
2022-04-29,4.38,-0.06,168.35,7,2032
2022-05-05,4.32,-0.06,14.36,7,2032
2022-05-06,4.38,0.06,216.17,7,2032
2022-05-09,4.34,-0.04,48.06,7,2032
2022-05-10,4.36,0.02,40.77,7,2032
2022-05-11,4.44,0.08,97.0,7,2032
2022-05-12,4.45,0.01,25.2,7,2032
2022-05-13,4.45,0.0,39.34,7,2032
2022-05-17,4.45,0.0,27.94,7,2032
2022-05-18,4.38,-0.07,64.55,7,2032
2022-05-19,4.4,0.02,40.0,7,2032
2022-05-20,4.32,-0.08,32.06,7,2032
2022-05-23,4.24,-0.08,956.2,7,2032
2022-05-24,4.22,-0.02,806.94,7,2032
2022-05-25,4.13,-0.09,334.23,7,2032
2022-05-26,4.12,-0.01,160.25,7,2032
2022-05-27,4.14,0.02,292.0,7,2032
2022-05-30,4.13,-0.01,649.47,7,2032
2022-05-31,4.17,0.04,167.9,7,2032
2022-06-01,4.21,0.04,274.22,7,2032
2022-06-02,4.23,0.02,85.13,7,2032
2022-06-03,4.21,-0.02,111.05,7,2032
2022-06-07,4.27,0.06,41.83,7,2032
2022-06-08,4.21,-0.06,159.8,7,2032
2022-06-09,4.22,0.01,23.4,7,2032
2022-06-10,4.24,0.02,35.25,7,2032
2022-06-13,4.4,0.16,60.0,7,2032
2022-06-14,4.39,-0.01,153.23,7,2032
2022-06-15,4.33,-0.06,290.8,7,2032
2022-06-16,4.36,0.03,160.45,7,2032
2022-06-17,4.34,-0.02,62.54,7,2032
2022-06-21,4.32,-0.02,5.42,7,2032
2022-06-22,4.29,-0.03,119.76,7,2032
2022-06-23,4.2,-0.09,417.5,7,2032
2022-06-24,4.21,0.01,491.12,7,2032
2022-06-27,4.24,0.03,125.0,7,2032
2022-06-28,4.24,0.0,171.22,7,2032
2022-06-29,4.25,0.01,68.57,7,2032
2022-06-30,4.26,0.01,188.77,7,2032
2022-07-01,4.22,-0.04,283.66,7,2032
2022-07-04,4.23,0.01,38.76,7,2032
2022-07-05,4.2,-0.03,71.3,7,2032
2022-07-06,4.13,-0.07,310.7,7,2032
2022-07-07,4.16,0.03,70.21,7,2032
2022-07-08,4.14,-0.02,183.35,7,2032
2022-07-12,4.07,-0.07,799.57,7,2032
2022-07-13,4.04,-0.03,230.3,7,2032
2022-07-14,4.07,0.03,336.48,7,2032
2022-07-15,4.06,-0.01,1.65,7,2032
2022-07-18,3.99,-0.07,247.7,7,2032
2022-07-19,4.05,0.06,34.76,7,2032
2022-07-20,4.06,0.01,115.01,7,2032
2022-07-21,4.03,-0.03,141.0,7,2032
2022-07-22,4.01,-0.02,248.12,7,2032
2022-07-25,3.96,-0.05,77.39,7,2032
2022-07-26,3.93,-0.03,0.45,7,2032
2022-07-27,3.97,0.04,41.8,7,2032
2022-07-28,3.94,-0.03,140.51,7,2032
2022-07-29,3.88,-0.06,420.97,7,2032
2022-08-01,3.9,0.02,86.72,7,2032
2022-08-02,3.89,-0.01,157.72,7,2032
2022-08-03,3.95,0.06,13.03,7,2032
2022-08-04,3.95,0.0,120.45,7,2032
2022-08-05,3.93,-0.02,20.0,7,2032
2022-08-08,3.96,0.03,127.5,7,2032
2022-08-09,3.94,-0.02,238.48,7,2032
2022-08-10,3.97,0.03,30.33,7,2032
2022-08-11,3.95,-0.02,161.0,7,2032
2022-08-12,3.98,0.03,157.82,7,2032
2022-08-15,3.94,-0.04,7.12,7,2032
2022-08-16,3.95,0.01,37.72,7,2032
